category,syscall,__NR_linux_riscv64
only_in_linux_uapi,acct,89
only_in_linux_uapi,add_key,217
only_in_linux_uapi,adjtimex,171
only_in_linux_uapi,cachestat,451
only_in_linux_uapi,clock_adjtime,266
only_in_linux_uapi,clock_settime,112
only_in_linux_uapi,delete_module,106
only_in_linux_uapi,execveat,281
only_in_linux_uapi,fanotify_mark,263
only_in_linux_uapi,fgetxattr,10
only_in_linux_uapi,file_getattr,468
only_in_linux_uapi,file_setattr,469
only_in_linux_uapi,finit_module,273
only_in_linux_uapi,flistxattr,13
only_in_linux_uapi,fremovexattr,16
only_in_linux_uapi,fsconfig,431
only_in_linux_uapi,fsetxattr,7
only_in_linux_uapi,fsmount,432
only_in_linux_uapi,futex_requeue,456
only_in_linux_uapi,futex_wait,455
only_in_linux_uapi,futex_waitv,449
only_in_linux_uapi,futex_wake,454
only_in_linux_uapi,getcpu,168
only_in_linux_uapi,getresgid,150
only_in_linux_uapi,getresuid,148
only_in_linux_uapi,getrlimit,163
only_in_linux_uapi,getxattr,8
only_in_linux_uapi,getxattrat,464
only_in_linux_uapi,init_module,105
only_in_linux_uapi,inotify_add_watch,27
only_in_linux_uapi,inotify_rm_watch,28
only_in_linux_uapi,io_cancel,3
only_in_linux_uapi,io_destroy,1
only_in_linux_uapi,io_getevents,4
only_in_linux_uapi,io_pgetevents,292
only_in_linux_uapi,io_setup,0
only_in_linux_uapi,io_submit,2
only_in_linux_uapi,io_uring_enter,426
only_in_linux_uapi,io_uring_register,427
only_in_linux_uapi,ioprio_get,31
only_in_linux_uapi,ioprio_set,30
only_in_linux_uapi,kcmp,272
only_in_linux_uapi,kexec_file_load,294
only_in_linux_uapi,kexec_load,104
only_in_linux_uapi,keyctl,219
only_in_linux_uapi,landlock_add_rule,445
only_in_linux_uapi,landlock_create_ruleset,444
only_in_linux_uapi,landlock_restrict_self,446
only_in_linux_uapi,lgetxattr,9
only_in_linux_uapi,listmount,458
only_in_linux_uapi,listxattr,11
only_in_linux_uapi,listxattrat,465
only_in_linux_uapi,llistxattr,12
only_in_linux_uapi,lookup_dcookie,18
only_in_linux_uapi,lremovexattr,15
only_in_linux_uapi,lsetxattr,6
only_in_linux_uapi,lsm_get_self_attr,459
only_in_linux_uapi,lsm_list_modules,461
only_in_linux_uapi,lsm_set_self_attr,460
only_in_linux_uapi,map_shadow_stack,453
only_in_linux_uapi,mbind,235
only_in_linux_uapi,migrate_pages,238
only_in_linux_uapi,mknodat,33
only_in_linux_uapi,mlockall,230
only_in_linux_uapi,mount_setattr,442
only_in_linux_uapi,move_mount,429
only_in_linux_uapi,move_pages,239
only_in_linux_uapi,mq_getsetattr,185
only_in_linux_uapi,mq_notify,184
only_in_linux_uapi,mq_open,180
only_in_linux_uapi,mq_timedreceive,183
only_in_linux_uapi,mq_timedsend,182
only_in_linux_uapi,mq_unlink,181
only_in_linux_uapi,mseal,462
only_in_linux_uapi,munlock,229
only_in_linux_uapi,munlockall,231
only_in_linux_uapi,name_to_handle_at,264
only_in_linux_uapi,nfsservctl,42
only_in_linux_uapi,open_by_handle_at,265
only_in_linux_uapi,open_tree_attr,467
only_in_linux_uapi,openat2,437
only_in_linux_uapi,personality,92
only_in_linux_uapi,pivot_root,41
only_in_linux_uapi,pkey_alloc,289
only_in_linux_uapi,pkey_free,290
only_in_linux_uapi,pkey_mprotect,288
only_in_linux_uapi,process_madvise,440
only_in_linux_uapi,process_mrelease,448
only_in_linux_uapi,process_vm_readv,270
only_in_linux_uapi,process_vm_writev,271
only_in_linux_uapi,ptrace,117
only_in_linux_uapi,quotactl,60
only_in_linux_uapi,quotactl_fd,443
only_in_linux_uapi,readahead,213
only_in_linux_uapi,reboot,142
only_in_linux_uapi,recvmmsg,243
only_in_linux_uapi,remap_file_pages,234
only_in_linux_uapi,removexattr,14
only_in_linux_uapi,removexattrat,466
only_in_linux_uapi,request_key,218
only_in_linux_uapi,restart_syscall,128
only_in_linux_uapi,riscv_hwprobe,258
only_in_linux_uapi,rseq,293
only_in_linux_uapi,sched_get_priority_max,125
only_in_linux_uapi,sched_get_priority_min,126
only_in_linux_uapi,sched_getattr,275
only_in_linux_uapi,sched_rr_get_interval,127
only_in_linux_uapi,sched_setattr,274
only_in_linux_uapi,sched_setparam,118
only_in_linux_uapi,semctl,191
only_in_linux_uapi,semget,190
only_in_linux_uapi,semop,193
only_in_linux_uapi,semtimedop,192
only_in_linux_uapi,sendmmsg,269
only_in_linux_uapi,set_mempolicy,237
only_in_linux_uapi,set_mempolicy_home_node,450
only_in_linux_uapi,setdomainname,162
only_in_linux_uapi,setfsgid,152
only_in_linux_uapi,setfsuid,151
only_in_linux_uapi,sethostname,161
only_in_linux_uapi,setns,268
only_in_linux_uapi,setpriority,140
only_in_linux_uapi,setregid,143
only_in_linux_uapi,setrlimit,164
only_in_linux_uapi,settimeofday,170
only_in_linux_uapi,setxattr,5
only_in_linux_uapi,setxattrat,463
only_in_linux_uapi,statmount,457
only_in_linux_uapi,swapoff,225
only_in_linux_uapi,swapon,224
only_in_linux_uapi,sync_file_range,84
only_in_linux_uapi,tee,77
only_in_linux_uapi,timer_delete,111
only_in_linux_uapi,timer_getoverrun,109
only_in_linux_uapi,timerfd_gettime,87
only_in_linux_uapi,timerfd_settime,86
only_in_linux_uapi,unshare,97
only_in_linux_uapi,vhangup,58
only_in_linux_uapi,vmsplice,75
only_in_linux_uapi,waitid,95
only_in_starry_dispatch,access,
only_in_starry_dispatch,arch_prctl,
only_in_starry_dispatch,chmod,
only_in_starry_dispatch,chown,
only_in_starry_dispatch,dup2,
only_in_starry_dispatch,fork,
only_in_starry_dispatch,fstatat,
only_in_starry_dispatch,lchown,
only_in_starry_dispatch,link,
only_in_starry_dispatch,lstat,
only_in_starry_dispatch,mkdir,
only_in_starry_dispatch,open,
only_in_starry_dispatch,pipe,
only_in_starry_dispatch,poll,
only_in_starry_dispatch,readlink,
only_in_starry_dispatch,rename,
only_in_starry_dispatch,renameat,
only_in_starry_dispatch,rmdir,
only_in_starry_dispatch,select,
only_in_starry_dispatch,stat,
only_in_starry_dispatch,symlink,
only_in_starry_dispatch,unlink,
only_in_starry_dispatch,utime,
only_in_starry_dispatch,utimes,
